wdid,mass,age
2MASS J12435677-0647584,0.56,
2MASS J12452533+3433468,,
2MASS J12461183+3250595,0.63,
2MASS J12470277+3134484,0.77,
2MASS J12483175+4353183,0.66,
2MASS J12491923+2804587,0.75,
2MASS J12493069+0306000,,
2MASS J12493509+3751326,0.89,
2MASS J12510844+3440504,0.8,
2MASS J12512317+3800291,0.53,0.4688
2MASS J12520718+0121570,0.53,
2MASS J12521518+0410428,0.638,0.4534
2MASS J12531625+1007439,,
2MASS J12534155+1034138,0.51,
2MASS J12535421+5813276,0.57,0.1175
2MASS J12542755+2915316,0.48,
2MASS J12543465+3709595,0.7484917636544458,0.1187
2MASS J12543923+3159295,,
2MASS J12551435+1155597,0.61,
2MASS J12564552+2522414,0.175,
2MASS J12571608+4236554,0.62,0.0457
2MASS J12575784+5458408,0.44,
2MASS J12582086+3809266,0.54,
2MASS J12591953+3219356,0.9,
2MASS J12594461+1544558,0.61,
